account_id,name,language,balance
ACC-0001,Maya Mizrahi,he,451.45
ACC-0002,Daniel Peretz,he,548.20
ACC-0003,Yoav Azulay,he,1309.45
ACC-0004,Mia Davis,en,3522.58
ACC-0005,Tamar Johnson,he,909.39
ACC-0006,Lucas Katz,he,3565.05
ACC-0007,Yoav Peretz,he,3517.31
ACC-0008,Lucas Wilson,he,4656.24
ACC-0009,Liam Johnson,en,1276.82
ACC-0010,Mason Brown,he,965.22
ACC-0011,Emma Friedman,en,863.81
ACC-0012,Maya Brown,en,60.92
ACC-0013,Sophia Peretz,he,1699.83
ACC-0014,Maya Cohen,en,14700.53
ACC-0015,Sophia Johnson,en,1272.48
ACC-0016,Sophia Miller,en,9122.53
ACC-0017,Eitan Davis,he,5331.42
ACC-0018,Tamar Wilson,he,2409.52
ACC-0019,Liam Davis,en,1458.08
ACC-0020,Eitan Azulay,en,1339.89
ACC-0021,Adi Levi,he,6400.52
ACC-0022,Emma Friedman,he,3523.79
ACC-0023,Daniel Taylor,en,3217.78
ACC-0024,Olivia Davis,en,7518.34
ACC-0025,Maya Biton,he,3905.87
ACC-0026,Yoav Levi,he,471.73
ACC-0027,Leo Levi,he,11540.17
ACC-0028,Lior Miller,he,1232.10
ACC-0029,Mason Taylor,en,2821.04
ACC-0030,Emma Smith,he,1968.77
ACC-0031,Shira Miller,he,6306.48
ACC-0032,Ava Johnson,he,3241.31
ACC-0033,Lior Miller,en,28475.57
ACC-0034,Lucas Brown,en,2099.86
ACC-0035,Shira Azulay,en,8182.74
ACC-0036,Ava Clark,en,5352.89
ACC-0037,Leo Miller,he,1699.55
ACC-0038,Eitan Mizrahi,he,11514.78
ACC-0039,Leo Levi,he,1451.92
ACC-0040,Maya Mizrahi,he,12592.33
ACC-0041,Mason Katz,en,25137.37
ACC-0042,Olivia Taylor,he,3946.94
ACC-0043,Tamar Taylor,he,1460.67
ACC-0044,Tamar Levi,en,1594.87
ACC-0045,Ethan Biton,he,6346.84
ACC-0046,Adi Azulay,en,1438.23
ACC-0047,Tamar Cohen,en,1450.01
ACC-0048,Mia Wilson,en,1791.43
ACC-0049,Tamar Levi,en,6774.97
ACC-0050,Tamar Katz,en,11304.79
ACC-0051,Daniel Brown,he,3848.73
ACC-0052,Yoav Cohen,en,3334.38
ACC-0053,Ava Taylor,he,469.42
ACC-0054,Ava Biton,he,2261.10
ACC-0055,Mason Azulay,en,2458.53
ACC-0056,Shira Taylor,en,1064.30
ACC-0057,Maya Azulay,he,828.91
ACC-0058,Yoav Friedman,he,1369.73
ACC-0059,Lior Friedman,en,4569.33
ACC-0060,Eitan Katz,en,2049.90
ACC-0061,Ethan Biton,en,14240.63
ACC-0062,Emma Taylor,he,885.60
ACC-0063,Leo Johnson,he,764.80
ACC-0064,Daniel Katz,he,1079.78
ACC-0065,Lior Davis,he,888.94
ACC-0066,Emma Peretz,he,18809.32
ACC-0067,Maya Smith,he,5956.68
ACC-0068,Maya Azulay,en,10709.70
ACC-0069,Emma Wilson,he,10438.96
ACC-0070,Ava Azulay,en,1802.49
ACC-0071,Omer Biton,en,9893.33
ACC-0072,Shira Johnson,en,5003.13
ACC-0073,Noa Smith,he,4653.39
ACC-0074,Shira Clark,he,474.24
ACC-0075,Ethan Clark,he,2225.17
ACC-0076,Eitan Brown,he,1877.73
ACC-0077,Daniel Peretz,he,10500.81
ACC-0078,Adi Azulay,en,1891.30
ACC-0079,Lucas Brown,en,2034.41
ACC-0080,Liam Katz,he,10643.64
ACC-0081,Ava Biton,he,1948.48
ACC-0082,Maya Friedman,he,5288.95
ACC-0083,Mia Friedman,he,1841.79
ACC-0084,Mason Friedman,en,2187.70
ACC-0085,Ava Wilson,he,3873.54
ACC-0086,Ava Levi,en,5910.85
ACC-0087,Eitan Peretz,en,13097.49
ACC-0088,Yoav Davis,he,1009.24
ACC-0089,Lucas Azulay,en,4010.66
ACC-0090,Lucas Peretz,he,7651.02
ACC-0091,Lior Azulay,en,1798.58
ACC-0092,Sophia Clark,en,351.38
ACC-0093,Shira Peretz,en,1956.62
ACC-0094,Adi Friedman,he,1198.69
ACC-0095,Yoav Biton,he,959.29
ACC-0096,Sophia Taylor,en,1317.72
ACC-0097,Sophia Smith,he,1939.34
ACC-0098,Liam Friedman,he,5612.00
ACC-0099,Yoav Miller,en,4208.61
ACC-0100,Noa Katz,he,12842.58
ACC-0101,Adi Friedman,he,2897.11
ACC-0102,Emma Levi,he,2284.83
ACC-0103,Shira Levi,he,1795.10
ACC-0104,Olivia Davis,en,1584.85
ACC-0105,Ethan Smith,en,3878.62
ACC-0106,Adi Friedman,en,1926.61
ACC-0107,Shira Miller,he,1207.13
ACC-0108,Olivia Biton,en,2590.43
ACC-0109,Adi Clark,en,2048.94
ACC-0110,Adi Smith,he,2751.84
ACC-0111,Lucas Davis,en,4541.62
ACC-0112,Ava Clark,he,3992.63
ACC-0113,Sophia Wilson,he,2609.78
ACC-0114,Emma Peretz,he,1574.41
ACC-0115,Shira Levi,he,809.49
ACC-0116,Ava Biton,en,2251.13
ACC-0117,Lior Miller,he,2152.69
ACC-0118,Shira Peretz,he,3032.98
ACC-0119,Sophia Wilson,he,1351.77
ACC-0120,Noa Peretz,en,2638.08
ACC-0121,Tamar Friedman,he,1749.77
ACC-0122,Sophia Peretz,he,9764.72
ACC-0123,Tamar Smith,he,4422.19
ACC-0124,Yoav Peretz,he,1808.08
ACC-0125,Noa Levi,he,345.94
ACC-0126,Eitan Clark,he,344.47
ACC-0127,Ethan Johnson,he,3266.17
ACC-0128,Eitan Wilson,he,4032.84
ACC-0129,Olivia Biton,en,1759.14
ACC-0130,Maya Biton,he,236.65
ACC-0131,Shira Azulay,he,266.53
ACC-0132,Leo Katz,he,419.80
ACC-0133,Daniel Friedman,en,2175.92
ACC-0134,Daniel Katz,en,4065.49
ACC-0135,Omer Taylor,he,10039.00
ACC-0136,Liam Brown,he,4911.62
ACC-0137,Yoav Biton,he,761.69
ACC-0138,Ethan Peretz,he,6207.86
ACC-0139,Sophia Biton,he,2752.24
ACC-0140,Ethan Azulay,he,6990.28
ACC-0141,Maya Brown,en,8664.06
ACC-0142,Leo Peretz,he,755.13
ACC-0143,Sophia Davis,he,1144.88
ACC-0144,Noa Johnson,en,752.43
ACC-0145,Emma Brown,en,11056.85
ACC-0146,Ava Biton,he,11213.27
ACC-0147,Daniel Clark,he,1008.73
ACC-0148,Yoav Wilson,he,1836.47
ACC-0149,Eitan Friedman,he,6098.42
ACC-0150,Lucas Mizrahi,he,5982.80
ACC-0151,Lior Miller,en,1737.73
ACC-0152,Omer Azulay,he,1330.42
ACC-0153,Ava Azulay,he,1601.17
ACC-0154,Daniel Mizrahi,en,730.60
ACC-0155,Sophia Miller,he,7627.91
ACC-0156,Shira Biton,he,1915.92
ACC-0157,Sophia Smith,en,492.28
ACC-0158,Liam Biton,en,7284.86
ACC-0159,Lior Cohen,he,2173.62
ACC-0160,Noa Brown,he,4269.48
ACC-0161,Maya Biton,he,1574.51
ACC-0162,Ethan Mizrahi,he,2933.69
ACC-0163,Lucas Peretz,en,4298.90
ACC-0164,Adi Johnson,en,2287.73
ACC-0165,Noa Miller,he,10257.57
ACC-0166,Noa Wilson,en,2107.93
ACC-0167,Olivia Miller,en,1338.12
ACC-0168,Olivia Peretz,he,3907.72
ACC-0169,Omer Katz,he,1152.68
ACC-0170,Shira Johnson,en,699.96
ACC-0171,Olivia Peretz,he,2880.11
ACC-0172,Omer Azulay,en,10877.05
ACC-0173,Mason Katz,en,3902.30
ACC-0174,Tamar Azulay,he,1083.94
ACC-0175,Lucas Cohen,en,6233.81
ACC-0176,Sophia Johnson,en,1730.74
